time stamp,face id,anger,contempt,disgust,fear,joy,sadness,surprise,sentimentality,confusion,neutral,engagement,valence,attention,inner brow raise,brow raise,brow furrow,eye widen,cheek raise,lid tighten,nose wrinkle,upper lip raise,dimpler,lip corner depressor,chin raise,lip pucker,lip stretch,lip press,mouth open,jaw drop,lip suck,eye closure,smile,smirk,blink,blink rate,pitch,yaw,roll,brightness,interocular distance,topleft_x,topleft_y,bottomright_x,bottomright_y,outer_right_eye_X,outer_right_eye_Y,outer_left_eye_X,outer_left_eye_Y,nose_top_X,nose_top_Y,chin_top_X,chin_top_Y
0.086,0,1.16,0.70,0.83,0.89,1.39,1.95,2.06,0.24,0.57,94.95,27.85,-2.29,92.03,0.36508208807557807,1.9862006164155899,2.981516389087774,1.2788776144199074,4.50567401225213,48.67583889886737,4.635715049086139,3.638966109864414,6.693495522253215,3.3250815893337133,3.704774212092161,4.983839293709025,4.662805924192071,3.314924188954756,8.818574142232539,4.517935900408775,1.332046315073967,7.269315770827234,4.081116928304546,1.1169708918314427,0,,-1.15,6.95,-3.35,84.58,122.16,901.57,139.93,1016.57,269.93,961.57,167.93,1038.57,167.93,996.57,195.93,1001.57,264.93
0.307,0,0.92,1.26,0.52,1.73,1.86,0.95,1.99,1.00,0.45,95.19,28.12,-7.53,95.59,2.383383786855265,2.7223505960311742,4.8445676122279835,1.9057258200272917,9.269425978451036,12.448037890251726,2.0942310325801374,0.49076934013515716,4.5589286962058395,3.7268117816932502,2.0845745452679694,3.0092683569528162,3.4420289215631783,0,4.446171779222786,5.122422973653301,0.5382037064991891,3.926684661768377,9.295151001350023,4.313610713463277,0.6357032507658005,,-2.17,6.87,-3.80,85.75,117.37,899.56,138.30,1014.56,268.30,959.56,166.30,1036.56,166.30,994.56,194.30,999.56,263.30
0.387,0,0.84,0.07,1.06,1.64,0.72,1.84,1.77,1.65,0.56,95.81,25.84,-4.65,93.59,1.1501153524219991,0,3.429353941269219,2.4588194996304815,4.706716839303263,38.7072201105766,5.591370564000681,0,4.691005016444251,5.726331781949848,3.662133847363293,1.5090265558101237,4.035988299641758,3.9732013336382805,4.898718033358454,0.5442996835801752,3.2752673742361367,5.972421139944345,7.766868906463497,0.3468574087601155,0.6856712750159204,,2.27,5.48,-4.24,83.99,120.83,901.67,140.53,1016.67,270.53,961.67,168.53,1038.67,168.53,996.67,196.53,1001.67,265.53
0.504,0,0.67,1.49,1.63,0.57,1.89,1.84,0.85,0.25,0.56,95.55,27.31,-4.02,87.50,2.926012474098243,1.7129973865346981,4.646565949711949,2.241036879355088,8.436065769619308,26.912694095168263,6.181226008641533,2.670796121340245,0.6438232141081244,0.6004920989833771,0,4.16229732753709,0,2.197864458449185,11.483839718215169,4.132593425731175,0.306221972219646,5.51941890316084,4.287101589967497,0,0,,1.06,6.35,-4.02,85.71,117.21,898.77,141.98,1013.77,271.98,958.77,169.98,1035.77,169.98,993.77,197.98,998.77,266.98
0.745,0,1.25,2.11,0.12,1.39,1.32,0.76,0.24,0.64,0.64,94.96,20.72,-2.06,92.12,4.1240346999699256,4.390863257809542,4.522636077105998,5.3509630639385435,5.711175140067935,29.652805420570076,1.2588171846000478,1.1810234283097087,1.8438251945190132,1.983001565169543,3.7450279318727553,4.92754718568176,0.8252095472998917,3.469628329835832,6.190528163034468,1.0596983281197025,0.3249588687904179,3.5098747136071324,6.122047011703253,2.363407413708046,0.49697392783127725,,-0.20,8.52,-0.93,85.37,117.23,901.11,139.75,1016.11,269.75,961.11,167.75,1038.11,167.75,996.11,195.75,1001.11,264.75
1.084,0,0.12,2.18,1.84,0.10,0.75,2.12,0.57,0.04,1.39,94.75,27.05,-6.11,87.70,3.351041016178206,1.3327531452290713,1.9101886526215823,0.7237300264276567,2.5849441963294524,30.26013216143474,2.0312640756135805,5.349268384426832,1.299457689980045,0.15157981645315877,6.011597677599639,0.22741529461927712,2.174495318904519,3.568531624600291,14.364622659496963,4.403349232263864,4.409278735984117,3.3510816656053066,8.39784829647746,0,3.5278326601255685,,-4.09,5.19,-1.44,86.06,122.50,901.78,138.59,1016.78,268.59,961.78,166.59,1038.78,166.59,996.78,194.59,1001.78,263.59
1.365,0,0.55,1.66,1.12,2.03,0.84,0.76,1.33,1.77,0.50,95.39,17.91,-1.76,92.53,4.4718681276869034,5.327920249197632,0,2.4710126289352776,6.948775015282445,15.988277677912265,0.7756188387284055,0.07323538307100552,5.439682179130614,4.027393697667867,4.766245194710791,3.8957779612392187,3.505929030943662,0.4683574315998702,6.846083222143352,4.467641048040241,1.1333639179356396,2.619536718353629,7.5235247107455505,0,0.6718742398079485,,-4.29,7.85,0.45,85.96,119.98,898.06,140.68,1013.06,270.68,958.06,168.68,1035.06,168.68,993.06,196.68,998.06,265.68
1.649,0,1.72,0.04,1.64,1.73,0.89,2.19,1.68,1.12,0.33,95.35,22.50,-0.33,88.59,0.9949478608276698,5.3768680319190025,3.0738576767407357,5.088152727633715,7.904535446851514,16.963004449848086,3.582386284810491,2.1244875628314914,5.209844543598592,2.417491372786462,0,0.7279646061360836,3.746808805502951,0,5.285757576487958,3.397831314522773,0,6.523846045602113,8.631259928946383,7.477191742276773,0,,-2.14,9.55,-1.90,86.67,117.69,900.92,138.69,1015.92,268.69,960.92,166.69,1037.92,166.69,995.92,194.69,1000.92,263.69
1.733,0,0.21,1.81,1.26,0.60,0.42,1.04,0.04,2.04,0.34,94.80,29.46,-3.10,96.89,2.2444260184420273,4.928068651701324,2.661398867564276,3.718691178159788,2.655625954372808,46.992854291107506,1.8670373317319902,1.7221234729886055,2.0938734519295394,0,0.7183748236857355,0,0,0.21184535097330803,5.0361143497750165,0,2.346813236363232,3.613101940136403,2.575186339272186,5.701692330650985,0,,-1.00,7.62,-1.62,86.00,118.89,899.30,141.08,1014.30,271.08,959.30,169.08,1036.30,169.08,994.30,197.08,999.30,266.08
1.802,0,1.81,0.68,0.81,0.51,1.90,1.46,0.88,0.98,1.32,95.50,30.48,-1.59,91.27,2.0920820607338104,3.082275840966031,1.945455167829059,2.8738873368315403,4.635945492405444,17.042617072816938,1.3882591038942338,3.891947964783758,6.0400887310970575,0.09364970061928046,0.6423937599174678,0.0896999619435519,3.1763666602782905,1.1386332251969726,11.354590666331351,5.0593241677898915,0,4.103301864583045,4.488000263702125,0,3.069001895841211,,-3.60,5.93,0.46,83.42,120.85,898.72,138.32,1013.72,268.32,958.72,166.32,1035.72,166.32,993.72,194.32,998.72,263.32
2.103,0,1.44,1.42,1.15,1.77,1.80,0.29,1.25,0.47,0.58,95.44,25.69,-6.41,92.38,3.6537051529763267,1.194520122022368,2.926832288298756,3.6095756032224746,4.852019229708239,25.04911573138088,2.387281956593506,0.7348756519891322,0,5.110487087406218,2.1548300497233868,3.712884234962985,6.046788797713816,5.146998533792794,9.005901780351996,2.4895518516888844,3.139003116171807,7.9450139426626265,5.176798526411876,1.964796345680952,3.3043455567676574,,-0.59,6.95,-1.42,85.59,121.52,901.65,140.69,1016.65,270.69,961.65,168.69,1038.65,168.69,996.65,196.69,1001.65,265.69
