time stamp,face id,anger,contempt,disgust,fear,joy,sadness,surprise,sentimentality,confusion,neutral,engagement,valence,attention,inner brow raise,brow raise,brow furrow,eye widen,cheek raise,lid tighten,nose wrinkle,upper lip raise,dimpler,lip corner depressor,chin raise,lip pucker,lip stretch,lip press,mouth open,jaw drop,lip suck,eye closure,smile,smirk,blink,blink rate,pitch,yaw,roll,brightness,interocular distance,topleft_x,topleft_y,bottomright_x,bottomright_y,outer_right_eye_X,outer_right_eye_Y,outer_left_eye_X,outer_left_eye_Y,nose_top_X,nose_top_Y,chin_top_X,chin_top_Y
0.075,0,0.07,0.16,0.02,0.37,0.02,1.29,0.21,23.78,0.10,97.43,2.89,0.00,98.58,25.83,6.35,0.03,0.05,0.02,0.10,0.04,0.00,0.00,23.78,0.01,0.00,0.00,0.00,0.02,0.00,0.00,28.21,0.00,0.00,0.00,,7.31,0.81,-2.37,64.15,78.83,312.64,252.78,426.78,375.23,411.09,282.83,332.49,276.87,369.83,304.47,365.55,375.23,
0.950,0,0.03,0.03,0.02,2.30,0.02,0.07,2.05,1.74,0.01,95.40,20.22,0.00,98.34,11.09,74.51,0.00,1.48,0.01,0.01,0.00,0.00,0.00,1.74,0.00,0.00,0.00,0.00,0.29,0.07,0.00,0.00,0.00,0.00,0.00,,4.36,1.59,-1.41,72.31,75.48,310.31,248.21,423.62,368.91,405.97,278.27,330.80,271.44,367.49,300.86,364.12,368.91,
1.029,0,0.04,0.04,0.02,1.42,0.02,0.12,1.13,7.31,0.01,97.17,11.18,0.00,97.40,11.86,60.23,0.00,0.47,0.01,0.01,0.00,0.00,0.00,7.31,0.00,0.00,0.00,0.00,0.12,0.02,0.00,0.00,0.00,0.00,0.00,,1.45,3.88,-1.35,71.95,75.62,311.18,248.49,422.74,366.72,405.98,277.72,330.67,271.01,368.86,301.64,364.23,366.72,
1.253,0,0.05,0.07,0.02,0.93,0.02,0.35,0.67,14.57,0.01,98.14,4.11,0.00,97.90,20.01,39.55,0.00,0.31,0.00,0.01,0.00,0.00,0.00,14.57,0.02,0.00,0.00,0.00,0.07,0.02,0.00,0.00,0.00,0.00,0.00,,3.74,2.79,-1.91,71.62,75.15,311.53,247.79,423.04,366.37,406.37,277.62,331.58,270.28,368.55,299.91,363.90,366.37,
1.330,0,0.03,0.04,0.01,2.97,0.02,0.35,2.83,12.38,0.00,94.07,19.21,0.00,97.39,31.16,63.08,0.00,0.87,0.00,0.00,0.00,0.00,0.00,12.38,0.01,0.00,0.00,0.00,0.17,0.02,0.00,0.00,0.00,0.00,0.00,,4.87,3.90,-1.46,71.32,75.57,311.63,246.93,423.90,365.94,406.74,277.87,331.64,269.45,369.68,299.02,364.91,365.94,
1.405,0,0.02,0.03,0.01,3.70,0.02,0.35,3.72,13.75,0.00,92.56,29.90,0.00,97.55,32.09,68.98,0.00,0.81,0.00,0.00,0.00,0.00,0.00,13.75,0.01,0.00,0.00,0.00,0.29,0.04,0.00,0.00,0.00,0.00,0.00,,4.12,3.58,-2.09,71.18,74.79,310.75,246.30,423.67,366.17,406.12,277.34,331.84,268.57,368.95,298.99,363.67,366.17,
1.483,0,0.03,0.04,0.01,3.26,0.02,0.49,3.18,19.40,0.00,93.48,34.10,0.00,98.13,31.45,65.73,0.00,0.78,0.01,0.00,0.00,0.00,0.00,19.40,0.01,0.00,0.00,0.00,0.30,0.04,0.00,0.00,0.00,0.00,0.00,,4.98,2.19,-1.53,71.68,76.32,310.38,246.59,423.38,366.58,406.33,277.43,330.43,269.45,367.78,298.88,363.89,366.58,
1.561,0,0.02,0.03,0.01,4.58,0.02,0.55,4.83,24.43,0.01,90.35,63.45,-0.97,98.58,31.58,75.77,0.00,1.07,0.01,0.00,0.01,0.00,0.00,24.43,0.01,0.00,0.00,0.00,0.42,0.04,0.00,0.00,0.00,0.00,0.00,,3.84,0.78,-1.20,71.65,76.90,309.84,246.33,423.33,366.64,406.17,277.06,329.66,269.32,366.62,299.30,363.93,366.64,
1.638,0,0.02,0.03,0.01,4.35,0.02,0.57,4.55,24.11,0.01,90.90,58.65,-1.03,98.77,32.30,73.58,0.00,1.05,0.01,0.00,0.01,0.00,0.00,24.11,0.02,0.00,0.00,0.00,0.30,0.03,0.00,0.00,0.00,0.00,0.00,,3.78,-0.06,-0.86,71.73,78.24,308.69,246.36,423.02,367.59,405.98,276.89,328.05,269.90,365.35,299.70,363.54,367.59,
1.716,0,0.02,0.03,0.01,4.87,0.02,0.70,5.25,24.89,0.01,89.49,60.95,-2.11,98.67,35.85,73.98,0.00,0.73,0.01,0.00,0.01,0.00,0.00,24.89,0.03,0.00,0.00,0.00,0.22,0.02,0.00,0.00,0.00,0.00,0.00,,3.37,-0.47,-0.36,71.74,77.14,308.30,246.57,422.68,368.19,404.81,276.14,327.87,270.61,364.71,300.09,363.78,368.19,
1.795,0,0.02,0.03,0.01,4.78,0.02,0.58,5.13,15.40,0.00,89.74,31.84,-0.01,98.46,40.94,68.46,0.00,0.55,0.01,0.00,0.00,0.00,0.00,15.40,0.02,0.00,0.00,0.00,0.27,0.02,0.00,0.00,0.00,0.01,0.00,,2.72,1.23,-0.42,71.70,77.64,307.72,247.02,421.79,368.32,404.38,276.08,326.90,271.10,365.02,300.71,363.00,368.32,
1.875,0,0.02,0.04,0.01,3.44,0.02,0.37,3.42,13.31,0.00,93.11,25.33,0.00,98.51,32.89,66.56,0.00,0.37,0.01,0.00,0.00,0.00,0.00,13.31,0.01,0.00,0.00,0.00,0.15,0.02,0.00,0.00,0.00,0.01,0.00,,1.36,1.03,-1.01,71.99,76.84,307.57,248.13,420.35,368.06,403.52,276.66,326.85,271.57,364.14,301.78,361.53,368.06,
1.950,0,0.03,0.04,0.01,2.62,0.02,0.30,2.44,11.12,0.01,94.75,16.99,0.00,97.95,28.77,62.47,0.00,0.24,0.01,0.01,0.00,0.00,0.00,11.12,0.01,0.00,0.00,0.00,0.09,0.02,0.00,0.00,0.00,0.01,0.00,,1.64,2.66,-1.30,71.89,77.57,308.30,248.21,420.58,367.57,404.52,276.79,327.13,271.51,365.64,301.55,361.67,367.57,
2.028,0,0.04,0.06,0.02,1.29,0.02,0.20,1.00,6.69,0.02,97.42,4.61,0.00,97.69,20.51,48.95,0.00,0.29,0.01,0.02,0.00,0.00,0.00,6.69,0.00,0.00,0.00,0.00,0.13,0.02,0.00,0.00,0.00,0.01,0.00,,1.87,3.27,-1.17,71.87,76.83,309.02,248.03,420.72,366.87,404.50,276.31,327.82,271.35,366.43,301.01,362.30,366.87,
2.108,0,0.05,0.06,0.02,1.03,0.02,0.17,0.75,4.36,0.03,97.95,2.74,0.00,97.44,17.80,44.55,0.00,0.36,0.02,0.03,0.00,0.00,0.00,4.36,0.00,0.00,0.00,0.00,0.23,0.04,0.00,0.00,0.00,0.01,0.00,,0.98,3.80,-1.22,71.73,76.72,309.90,247.85,421.14,365.90,405.10,276.19,328.57,270.78,367.40,301.00,362.90,365.90,
2.186,0,0.05,0.08,0.02,0.76,0.02,0.21,0.51,4.27,0.04,98.48,1.25,0.00,97.88,18.47,34.52,0.00,0.44,0.02,0.04,0.00,0.00,0.00,4.27,0.01,0.00,0.00,0.00,0.37,0.08,0.00,0.00,0.00,0.01,0.00,,0.67,2.83,-1.07,71.60,77.27,310.12,247.39,421.39,365.19,405.52,276.03,328.47,270.21,367.04,300.68,363.27,365.19,
2.266,0,0.06,0.08,0.02,0.76,0.02,0.22,0.51,4.34,0.03,98.48,1.17,0.00,98.33,18.99,33.55,0.00,0.86,0.02,0.03,0.00,0.00,0.00,4.34,0.01,0.00,0.00,0.00,0.58,0.14,0.00,0.00,0.00,0.02,0.00,,0.48,1.61,-1.00,71.65,76.23,309.98,247.20,421.09,365.10,404.76,275.33,328.70,270.15,366.06,300.45,363.15,365.10,
2.342,0,0.05,0.08,0.02,0.96,0.02,0.25,0.68,5.67,0.01,98.08,1.71,0.00,98.66,21.84,37.27,0.00,1.24,0.04,0.01,0.00,0.00,0.00,5.67,0.04,0.00,0.00,0.01,0.57,0.18,0.00,0.00,0.00,0.07,0.00,,-0.73,0.50,-0.72,71.24,75.70,309.24,246.59,420.99,365.17,403.93,274.42,328.38,269.67,364.95,300.63,363.03,365.17,
2.423,0,0.05,0.07,0.02,1.27,0.02,0.20,0.94,4.71,0.00,97.46,2.59,0.00,98.79,20.47,43.50,0.00,3.79,0.24,0.00,0.00,0.00,0.01,4.71,0.14,0.00,0.00,0.39,1.38,0.41,0.00,0.00,0.00,0.52,0.00,,4.21,0.00,-1.34,71.37,75.63,308.38,244.87,421.76,365.73,404.15,274.71,328.80,268.24,364.65,297.56,362.27,365.73,
2.497,0,0.08,0.19,0.02,1.06,0.03,0.29,0.72,3.76,0.00,97.88,2.72,0.00,98.58,24.37,32.24,0.00,4.43,3.76,0.00,0.00,0.00,0.18,3.65,2.53,0.00,0.01,16.59,3.29,0.66,0.00,0.41,0.01,7.42,0.00,,9.17,0.80,-0.89,72.24,75.91,306.68,244.28,421.40,367.35,403.01,274.85,327.34,268.92,364.07,295.43,361.77,367.35,
2.564,0,0.39,20.13,0.08,0.59,0.09,1.02,0.34,23.70,0.01,59.73,53.79,-7.73,98.72,23.65,13.41,0.00,5.80,23.70,0.01,0.01,0.00,2.73,3.54,44.91,0.00,0.21,71.52,3.41,0.85,0.07,0.04,0.06,49.05,0.00,,5.50,-0.29,-1.34,71.51,73.41,306.98,243.80,421.83,366.98,402.36,273.60,329.18,267.76,363.82,296.57,361.67,366.98,
2.638,0,1.33,93.29,0.44,0.87,0.06,1.69,0.46,16.95,0.00,0.00,78.46,-18.92,98.38,16.29,8.70,0.00,24.90,16.95,0.00,0.00,0.00,23.42,2.94,92.48,0.00,3.26,68.49,3.14,1.16,6.53,0.00,0.25,85.83,0.00,,4.92,-1.46,-1.04,71.07,74.17,307.27,243.06,421.40,365.44,402.56,272.11,328.55,267.19,363.04,295.72,361.89,365.44,
2.706,0,3.95,97.10,0.56,1.87,0.05,1.76,0.87,15.25,0.00,0.00,85.00,-24.96,98.72,15.25,4.02,0.00,45.34,11.74,0.00,0.00,0.00,44.39,2.26,99.67,0.00,16.12,83.77,3.63,1.78,89.32,0.00,1.15,93.61,0.00,,5.27,-0.26,-0.64,71.48,76.52,305.53,242.93,421.30,366.77,402.60,272.69,326.25,267.56,362.79,296.26,361.40,366.77,
2.772,0,15.19,96.97,0.55,6.81,0.07,1.31,3.33,11.59,0.00,0.00,81.17,-23.35,98.72,11.59,3.28,0.00,81.87,10.61,0.00,0.00,0.00,73.35,1.43,99.92,0.00,25.58,93.88,3.81,2.38,99.85,0.00,4.11,95.12,0.00,,6.59,0.26,0.06,71.64,75.80,305.08,242.18,421.27,366.71,401.60,271.83,325.93,267.43,362.83,295.11,362.01,366.71,
2.852,0,19.53,94.45,0.47,10.83,0.18,1.05,5.35,16.43,0.00,0.00,86.48,-14.22,98.72,10.21,3.89,0.00,93.80,16.43,0.00,0.00,0.00,80.78,0.99,99.94,0.00,43.15,95.91,4.26,3.13,100.00,0.00,9.74,93.29,0.00,,7.88,-0.27,0.04,72.01,76.37,304.26,242.16,421.31,367.77,401.51,272.32,325.28,267.75,362.11,294.90,361.57,367.77,
2.920,0,15.49,93.61,0.45,9.36,0.33,1.20,4.29,26.26,0.00,0.00,93.38,-9.09,98.65,11.11,3.75,0.00,88.03,26.26,0.00,0.00,0.00,79.49,1.26,99.96,0.00,48.55,94.18,3.62,2.59,100.00,0.00,10.20,92.18,0.00,,8.69,-0.53,-0.34,72.15,77.38,304.31,242.52,420.98,367.59,402.09,273.25,324.90,267.84,361.83,294.73,360.95,367.59,
2.987,0,3.95,90.23,0.39,2.14,0.35,1.12,1.00,21.23,0.00,0.00,90.39,-6.38,98.58,12.29,2.12,0.00,53.26,21.23,0.00,0.00,0.00,68.19,1.34,99.91,0.00,46.45,86.90,3.05,1.95,100.00,0.84,13.37,89.69,0.00,,11.73,0.80,-1.84,72.75,78.31,304.44,243.57,419.35,367.50,402.69,274.34,324.58,268.66,361.98,293.63,358.40,367.50,
3.064,0,0.64,90.35,0.35,0.70,0.15,1.91,0.29,23.16,0.01,0.00,91.66,-12.31,98.20,23.16,1.86,0.00,13.08,12.17,0.01,0.01,0.00,42.86,2.11,99.77,0.00,48.43,67.84,2.66,1.88,100.00,14.06,10.39,87.64,0.00,,12.84,2.00,-2.62,72.33,78.01,306.99,244.67,418.33,364.94,403.76,274.69,325.96,269.02,363.54,292.69,358.27,364.94,
3.142,0,0.35,88.08,0.28,0.69,0.08,3.97,0.32,38.21,0.02,0.00,97.36,-22.33,98.17,38.21,1.27,0.00,1.11,4.88,0.02,0.01,0.00,16.68,3.59,99.45,0.00,43.32,70.13,1.85,1.73,100.00,58.55,8.42,83.89,0.00,,10.12,2.10,-2.72,72.02,78.36,307.86,245.51,417.64,363.13,404.03,275.68,325.98,268.68,363.69,294.12,358.23,363.13,
3.216,0,0.28,87.01,0.22,0.62,0.08,5.31,0.42,46.18,0.03,0.00,98.59,-23.64,97.72,46.18,0.90,0.00,0.13,3.04,0.03,0.01,0.00,0.00,4.34,96.37,0.00,21.63,69.79,1.78,1.39,100.00,8.41,9.14,83.39,0.00,,8.80,3.22,-2.30,72.12,78.79,308.92,246.66,417.08,362.24,404.28,275.90,325.74,269.70,364.63,295.14,358.98,362.24,
3.282,0,0.23,85.30,0.10,0.46,0.12,2.80,0.35,42.28,0.03,0.00,98.08,-13.97,96.55,42.28,0.73,0.00,0.03,4.53,0.02,0.03,0.00,0.00,4.66,73.18,0.00,17.41,72.10,1.63,1.40,99.98,29.09,12.13,84.10,0.00,,10.34,5.35,-2.82,71.79,76.60,311.48,247.81,416.82,360.58,404.55,276.75,328.23,270.13,367.06,294.45,359.68,360.58,
3.358,0,0.25,86.02,0.02,0.27,0.16,0.69,0.19,24.97,0.06,0.00,93.65,-0.95,96.08,27.10,0.73,0.00,0.01,9.84,0.04,0.06,0.00,0.00,6.35,24.97,0.00,15.24,86.21,1.51,1.35,99.73,25.95,12.02,84.58,0.00,,7.67,6.01,-2.42,71.84,78.27,311.57,248.32,416.89,360.40,405.27,276.96,327.27,270.48,367.60,296.09,360.15,360.40,
3.437,0,0.12,85.35,0.01,0.19,0.10,0.27,0.12,9.28,0.12,0.00,77.99,0.00,96.43,16.77,0.80,0.00,0.00,6.80,0.12,0.06,0.01,8.12,4.06,1.49,0.00,9.03,30.86,1.39,1.84,92.31,48.81,9.28,82.15,0.00,,6.00,5.52,-2.72,71.64,77.68,312.32,249.08,417.19,360.62,405.67,277.32,328.26,270.84,367.81,297.29,360.35,360.62,
