time stamp,face id,anger,contempt,disgust,fear,joy,sadness,surprise,sentimentality,confusion,neutral,engagement,valence,attention,inner brow raise,brow raise,brow furrow,eye widen,cheek raise,lid tighten,nose wrinkle,upper lip raise,dimpler,lip corner depressor,chin raise,lip pucker,lip stretch,lip press,mouth open,jaw drop,lip suck,eye closure,smile,smirk,blink,blink rate,pitch,yaw,roll,brightness,interocular distance,topleft_x,topleft_y,bottomright_x,bottomright_y,outer_right_eye_X,outer_right_eye_Y,outer_left_eye_X,outer_left_eye_Y,nose_top_X,nose_top_Y,chin_top_X,chin_top_Y
0.073,0,0.13,0.19,0.02,0.14,0.02,0.14,0.06,0.26,0.19,99.62,0.33,0.00,98.67,0.26,0.69,0.03,1.14,0.18,0.19,0.04,0.00,0.00,1.62,0.12,0.12,0.00,0.00,0.13,0.09,0.00,0.02,0.00,0.01,0.00,,14.23,-0.46,2.90,53.96,79.77,301.65,245.61,431.75,387.28,405.47,277.29,325.70,277.20,365.71,300.89,368.93,387.28,
0.774,0,0.00,0.00,0.00,0.26,70.67,0.04,9.76,0.14,0.03,4.33,99.22,70.98,96.27,43.23,45.32,0.03,4.13,11.15,1.66,0.01,0.00,0.00,0.02,0.02,0.03,1.68,0.14,6.93,33.94,0.01,0.03,76.84,0.00,0.00,,12.47,5.75,-3.13,73.88,76.03,307.27,246.61,431.28,381.76,409.57,279.21,333.78,273.28,372.43,300.21,364.47,381.76,
0.853,0,0.00,0.00,0.00,0.09,99.56,0.05,3.38,0.10,0.02,0.00,99.98,89.16,97.93,51.00,29.95,0.01,2.74,47.18,1.51,0.01,0.00,0.00,0.02,0.02,0.01,0.70,0.10,8.02,15.81,0.00,0.01,99.20,7.06,0.00,,9.10,2.71,-1.14,73.01,73.47,312.41,249.94,428.14,375.33,408.19,278.98,334.81,275.43,371.43,301.48,367.83,375.33,
0.930,0,0.00,0.00,0.00,0.12,99.96,0.18,3.17,0.06,0.01,0.00,99.98,85.35,98.56,69.05,20.09,0.00,1.73,89.44,0.88,0.00,0.00,0.00,0.01,0.01,0.00,2.39,0.06,9.63,7.10,0.00,0.00,99.83,30.93,0.00,,10.47,0.86,-0.44,72.36,74.22,315.09,250.70,426.70,371.29,408.83,279.02,334.67,275.87,370.94,299.84,369.18,371.29,
1.008,0,0.00,0.00,0.00,0.11,99.97,0.20,2.34,0.03,0.00,0.00,99.98,85.30,98.78,69.32,16.06,0.00,1.36,94.07,0.36,0.00,0.00,0.00,0.00,0.01,0.00,4.24,0.03,12.94,3.67,0.00,0.00,99.94,36.61,0.00,,10.84,0.03,-0.07,71.89,74.90,315.77,250.82,425.75,369.09,408.82,279.41,334.02,275.60,370.29,299.13,369.44,369.09,
1.089,0,0.00,0.00,0.00,0.12,99.97,0.26,2.47,0.01,0.00,0.00,99.98,84.23,98.61,74.39,14.10,0.00,1.01,94.02,0.18,0.00,0.00,0.00,0.00,0.01,0.00,3.75,0.01,13.19,2.28,0.00,0.00,99.77,34.42,0.00,,8.36,-0.68,0.02,71.12,73.29,316.35,251.48,424.25,367.55,407.53,278.46,334.28,275.84,369.42,299.89,369.10,367.55,
1.167,0,0.00,0.00,0.00,0.17,99.96,0.31,3.63,0.01,0.00,0.00,99.98,82.90,98.59,80.68,18.57,0.00,0.73,88.28,0.11,0.00,0.00,0.00,0.00,0.01,0.00,6.60,0.01,10.13,1.31,0.00,0.00,99.79,37.65,0.00,,8.44,-0.76,-0.09,70.69,73.20,317.09,251.82,423.86,366.51,407.71,278.79,334.57,275.82,369.55,299.70,369.15,366.51,
1.243,0,0.00,0.00,0.00,0.17,99.93,0.13,3.91,0.01,0.00,0.00,99.98,85.24,98.67,69.62,31.52,0.00,0.63,77.50,0.08,0.00,0.00,0.00,0.00,0.01,0.00,2.45,0.01,10.06,1.37,0.00,0.00,99.79,32.57,0.00,,6.17,0.46,-0.51,70.14,72.92,316.78,251.83,423.09,365.92,407.25,278.23,334.39,275.37,369.75,300.43,368.17,365.92,
1.321,0,0.00,0.00,0.00,0.24,99.77,0.07,5.90,0.02,0.00,0.00,99.98,86.16,98.73,65.31,46.72,0.00,0.75,57.07,0.08,0.00,0.00,0.00,0.00,0.02,0.00,1.49,0.00,8.59,0.76,0.00,0.00,99.91,28.39,0.00,,4.12,0.24,-2.19,69.82,72.52,316.90,252.68,422.15,365.44,407.53,279.30,335.15,274.89,369.30,301.61,365.89,365.44,
1.402,0,0.00,0.00,0.00,0.34,99.16,0.05,8.68,0.02,0.00,0.00,99.98,85.97,98.72,66.17,56.19,0.00,0.68,34.52,0.04,0.00,0.00,0.00,0.00,0.02,0.00,1.61,0.01,9.09,0.47,0.00,0.00,99.87,27.34,0.00,,3.68,0.29,-2.35,69.78,73.20,317.61,253.27,421.91,364.75,408.20,279.95,335.16,275.05,369.56,301.95,365.90,364.75,
1.477,0,0.00,0.00,0.00,0.07,94.63,0.01,1.49,0.01,0.00,0.00,99.98,93.49,98.71,30.66,47.31,0.00,1.06,3.03,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.25,0.00,4.40,0.36,0.00,0.00,98.79,0.00,0.00,,3.18,0.31,-1.92,70.16,72.67,317.69,253.76,421.48,364.47,407.51,280.30,335.00,275.44,369.38,302.40,366.24,364.47,
1.543,0,0.00,0.00,0.00,0.14,88.80,0.01,2.74,0.02,0.01,0.00,99.94,84.63,98.63,38.13,53.92,0.00,1.89,0.42,0.01,0.00,0.00,0.00,0.02,0.01,0.00,0.07,0.00,3.09,0.38,0.00,0.00,92.96,0.00,0.00,,2.72,0.63,-1.82,70.17,71.84,318.37,253.64,421.82,363.98,407.53,280.00,335.85,275.20,370.07,302.31,366.91,363.98,
1.618,0,0.00,0.00,0.00,0.61,17.33,0.03,4.38,0.05,0.00,65.33,90.35,50.11,98.41,38.52,63.91,0.00,3.07,0.10,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.01,0.00,3.17,0.49,0.00,0.00,60.58,0.00,0.00,,3.55,1.38,-1.51,70.58,70.89,318.75,253.80,421.98,364.03,407.13,280.06,336.39,275.52,370.75,302.05,367.57,364.03,
1.696,0,0.02,0.01,0.01,4.48,0.10,0.15,7.11,0.13,0.00,85.78,20.68,0.00,98.39,39.64,72.73,0.00,5.25,0.03,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,3.88,0.71,0.00,0.00,12.81,0.00,0.00,,3.02,1.45,-1.60,70.94,71.80,318.97,254.55,421.57,363.89,407.56,280.71,335.91,276.08,370.71,302.72,367.34,363.89,
1.776,0,0.03,0.03,0.01,5.28,0.03,0.16,5.70,0.45,0.00,88.60,22.37,0.00,98.68,33.41,74.35,0.00,4.32,0.02,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,3.50,0.58,0.00,0.00,1.69,0.00,0.00,,1.54,0.45,-1.75,70.87,70.20,319.33,254.74,421.76,363.76,407.07,280.92,337.06,275.76,370.42,303.39,367.51,363.76,
1.852,0,0.03,0.03,0.02,4.41,0.02,0.12,4.28,1.68,0.00,91.19,24.46,0.00,98.72,24.91,75.85,0.00,4.18,0.02,0.00,0.00,0.00,0.00,1.68,0.00,0.00,0.00,0.00,3.45,0.50,0.00,0.00,0.15,0.00,0.00,,1.97,0.26,-1.88,70.93,70.78,319.23,254.76,421.69,363.90,407.37,280.95,336.77,275.88,370.23,303.25,367.25,363.90,
1.934,0,0.03,0.03,0.02,4.03,0.02,0.14,3.91,4.45,0.00,91.95,23.75,0.00,98.62,24.76,74.36,0.00,3.49,0.02,0.00,0.00,0.00,0.00,4.45,0.00,0.00,0.00,0.00,2.66,0.56,0.00,0.00,0.02,0.01,0.00,,2.11,0.67,-1.82,71.02,71.25,319.19,254.71,421.72,363.77,407.55,281.12,336.50,275.80,370.45,303.19,367.30,363.77,
2.010,0,0.03,0.03,0.02,2.88,0.02,0.17,2.61,9.36,0.00,94.24,23.41,0.00,98.77,20.88,69.22,0.00,2.53,0.02,0.00,0.00,0.00,0.00,9.36,0.00,0.00,0.00,0.00,2.17,0.53,0.00,0.00,0.01,0.02,0.00,,2.24,-0.06,-1.79,71.04,71.28,319.04,254.68,421.65,363.90,407.46,281.04,336.37,275.87,369.93,303.13,367.21,363.90,
2.089,0,0.03,0.03,0.02,3.18,0.02,0.26,2.96,14.12,0.00,93.65,29.85,0.00,98.69,24.87,68.58,0.00,2.35,0.01,0.00,0.00,0.00,0.00,14.12,0.00,0.00,0.00,0.00,2.02,0.45,0.00,0.00,0.00,0.02,0.00,,1.79,0.40,-1.52,70.91,71.31,318.81,254.47,421.70,363.85,407.23,280.87,336.11,275.71,370.09,303.24,367.43,363.85,
2.166,0,0.02,0.03,0.01,4.92,0.02,0.74,5.12,26.60,0.00,89.75,61.67,-2.39,98.78,34.55,72.65,0.00,2.42,0.02,0.00,0.00,0.00,0.00,26.60,0.00,0.00,0.00,0.00,1.73,0.33,0.00,0.00,0.00,0.02,0.00,,3.64,0.01,-1.43,70.58,71.88,318.80,253.87,422.17,364.11,407.73,280.34,336.00,275.65,370.09,302.14,367.71,364.11,
2.242,0,0.03,0.04,0.01,3.06,0.02,1.32,2.89,30.81,0.01,93.88,65.60,-5.41,98.55,30.81,63.48,0.00,1.10,0.02,0.00,0.01,0.00,0.00,37.88,0.01,0.00,0.00,0.00,1.20,0.22,0.00,0.00,0.00,0.02,0.00,,4.30,0.90,-1.46,70.29,70.08,318.63,253.22,422.83,364.61,407.04,279.98,337.13,275.06,370.84,301.61,368.01,364.61,
2.320,0,0.03,0.04,0.02,2.99,0.02,1.96,2.83,29.01,0.01,94.01,82.30,-8.30,98.77,29.01,65.00,0.00,0.96,0.02,0.00,0.01,0.00,0.00,47.46,0.01,0.00,0.00,0.00,0.83,0.16,0.00,0.00,0.00,0.02,0.00,,5.26,0.08,-1.19,70.61,71.09,318.24,253.48,422.35,364.85,407.01,280.15,336.05,275.70,369.93,301.44,367.82,364.85,
2.400,0,0.03,0.04,0.02,2.87,0.02,2.20,2.70,25.40,0.01,94.25,90.17,-9.55,98.73,25.40,67.43,0.00,1.00,0.02,0.00,0.01,0.00,0.00,53.49,0.02,0.00,0.00,0.00,0.60,0.11,0.00,0.00,0.00,0.01,0.00,,5.70,0.21,-1.09,70.74,71.16,318.34,253.50,422.36,364.83,407.05,280.13,336.01,275.84,370.05,301.25,367.99,364.83,
2.481,0,0.04,0.04,0.02,1.78,0.02,3.21,1.49,17.97,0.01,93.59,93.06,-11.78,98.65,17.97,60.73,0.00,0.69,0.02,0.00,0.01,0.00,0.00,64.91,0.03,0.00,0.00,0.00,0.39,0.06,0.00,0.00,0.00,0.01,0.00,,5.14,0.55,-1.07,70.78,71.62,318.12,253.38,422.32,364.69,407.14,280.17,335.67,275.60,370.12,301.45,367.87,364.69,
2.557,0,0.04,0.04,0.02,1.77,0.02,5.08,1.48,15.92,0.00,89.83,97.48,-15.21,98.50,15.92,62.61,0.00,0.73,0.01,0.00,0.00,0.00,0.00,76.24,0.05,0.00,0.00,0.00,0.26,0.04,0.00,0.00,0.00,0.01,0.00,,6.93,1.08,-1.32,70.91,70.75,317.88,253.26,422.46,365.22,406.74,280.70,336.18,275.48,370.37,300.79,367.59,365.22,
2.634,0,0.03,0.04,0.02,1.82,0.02,9.61,1.54,18.89,0.00,80.78,98.67,-19.26,98.62,18.89,60.86,0.00,0.44,0.01,0.00,0.00,0.00,0.00,86.03,0.07,0.00,0.00,0.00,0.20,0.03,0.00,0.00,0.00,0.01,0.00,,6.33,0.66,-1.35,70.86,70.50,317.98,253.34,422.38,365.10,406.65,280.56,336.33,275.48,370.15,301.02,367.57,365.10,
2.715,0,0.03,0.05,0.02,1.77,0.02,14.49,1.49,24.11,0.01,71.03,98.27,-21.33,98.64,24.11,55.07,0.00,0.23,0.01,0.00,0.01,0.00,0.00,88.55,0.07,0.00,0.00,0.00,0.12,0.02,0.00,0.00,0.00,0.01,0.00,,6.07,0.56,-1.58,70.78,70.85,318.02,253.30,422.42,365.04,406.99,280.53,336.32,275.34,370.15,301.08,367.34,365.04,
2.789,0,0.03,0.06,0.01,1.79,0.02,21.47,1.51,29.71,0.01,57.05,97.89,-23.52,98.55,29.71,49.91,0.00,0.15,0.01,0.00,0.01,0.00,0.00,91.19,0.06,0.00,0.00,0.00,0.08,0.01,0.00,0.00,0.00,0.02,0.00,,6.90,0.91,-1.27,70.96,70.71,318.02,253.27,422.45,365.08,406.76,280.60,336.23,275.51,370.34,300.75,367.71,365.08,
2.871,0,0.03,0.06,0.01,1.75,0.02,26.43,1.47,32.20,0.01,48.57,97.69,-24.79,98.54,32.20,46.71,0.00,0.11,0.02,0.00,0.01,0.00,0.00,93.21,0.07,0.00,0.00,0.00,0.08,0.01,0.00,0.00,0.00,0.02,0.00,,6.50,0.96,-1.23,70.87,70.10,317.86,253.22,422.46,365.26,406.35,280.42,336.42,275.46,370.29,300.92,367.69,365.26,
2.946,0,0.04,0.07,0.01,1.48,0.02,31.43,1.20,34.39,0.01,43.57,96.12,-25.45,98.55,34.39,39.57,0.00,0.09,0.02,0.00,0.01,0.00,0.00,93.70,0.05,0.00,0.00,0.00,0.10,0.02,0.00,0.00,0.00,0.02,0.00,,5.99,0.89,-1.56,70.71,70.52,317.92,253.35,422.30,365.16,406.70,280.40,336.36,275.44,370.22,301.15,367.27,365.16,
3.025,0,0.04,0.08,0.01,1.56,0.02,30.97,1.27,39.45,0.01,44.03,93.87,-24.47,98.40,39.45,35.91,0.00,0.11,0.29,0.00,0.01,0.00,0.00,87.84,0.05,0.00,0.00,0.00,0.21,0.03,0.00,0.00,0.01,0.14,0.00,,5.40,1.39,-1.84,70.43,70.80,317.90,253.47,422.17,365.13,406.92,280.41,336.30,275.41,370.44,301.46,366.90,365.13,
3.105,0,0.03,0.10,0.01,2.16,0.05,30.12,1.91,53.50,0.02,44.88,92.85,-16.64,98.61,53.50,31.80,0.00,0.08,12.20,0.02,0.01,0.01,0.00,71.75,0.04,0.00,0.00,0.00,0.42,0.06,0.00,0.00,0.04,1.61,0.00,,4.34,0.71,-1.84,70.01,71.76,318.38,253.62,422.36,364.71,407.76,280.44,336.18,275.40,370.39,301.90,367.17,364.71,
3.184,0,0.03,0.88,0.01,2.25,2.58,11.92,2.05,25.08,0.12,76.15,74.14,7.71,98.69,64.74,22.25,0.00,0.06,81.36,0.12,0.01,0.00,0.00,25.08,0.02,0.00,0.07,0.00,0.92,0.10,0.00,0.00,0.81,20.17,0.00,,3.34,0.40,-1.85,69.47,73.13,318.28,253.50,421.96,363.97,408.24,280.21,335.28,275.15,369.97,302.04,366.83,363.97,
3.258,0,0.02,51.78,0.00,1.13,37.83,4.77,1.69,3.98,1.51,23.22,68.96,40.37,98.58,72.94,9.26,0.00,0.05,99.29,1.51,0.03,0.00,1.33,3.98,0.02,0.00,5.14,0.00,2.15,0.17,0.00,0.01,19.79,75.65,0.00,,5.03,0.81,-1.51,69.51,72.87,318.44,253.59,421.54,363.52,407.78,280.37,335.08,275.45,370.06,301.21,367.12,363.52,
3.336,0,0.00,0.06,0.00,0.19,99.94,0.40,1.16,0.68,0.68,0.00,99.90,84.78,98.61,70.30,2.86,0.00,0.02,99.94,14.73,0.23,0.00,0.00,0.68,0.02,0.00,63.54,0.02,4.77,0.19,0.00,0.01,89.64,52.47,0.00,,5.59,0.68,-1.21,69.82,71.95,317.93,254.04,421.07,364.16,406.65,280.75,334.86,276.07,369.48,301.45,366.99,364.16,
3.416,0,0.01,0.02,0.00,0.19,99.98,0.26,0.97,0.06,0.06,0.00,99.98,85.36,98.53,68.06,0.78,0.00,0.02,99.96,53.67,0.45,0.00,0.00,0.06,0.01,0.00,91.37,0.02,10.40,0.16,0.00,0.01,99.67,48.86,0.00,,4.64,0.97,-0.20,70.17,71.95,317.49,254.72,421.29,365.39,406.01,280.96,334.15,277.30,369.48,302.82,368.00,365.39,
3.494,0,0.05,0.02,0.00,0.19,99.98,0.20,0.74,0.01,0.01,0.00,99.98,86.69,98.67,61.93,0.35,0.00,0.02,99.97,81.42,0.44,0.00,0.00,0.01,0.01,0.00,96.04,0.00,18.95,0.21,0.00,0.01,99.99,49.19,0.00,,5.23,0.47,-0.90,69.68,72.11,317.67,254.13,422.02,365.46,406.91,281.08,334.95,276.42,369.68,302.24,367.67,365.46,
3.573,0,0.09,0.02,0.00,0.17,99.98,0.15,0.58,0.01,0.00,0.00,99.98,87.78,98.73,56.19,0.25,0.00,0.02,99.99,92.70,0.72,0.00,0.00,0.00,0.01,0.00,94.39,0.00,24.74,0.20,0.00,0.01,100.00,49.11,0.00,,4.33,-0.22,-0.42,69.62,72.46,317.34,254.32,422.38,366.29,406.87,281.04,334.53,276.94,369.28,303.10,368.20,366.29,
3.649,0,0.13,0.02,0.00,0.13,99.98,0.10,0.38,0.00,0.00,0.00,99.98,89.81,98.51,46.07,0.18,0.00,0.05,99.99,95.42,1.00,0.00,0.00,0.00,0.00,0.00,93.46,0.00,27.35,0.12,0.00,0.00,100.00,49.14,0.00,,3.57,-1.05,-0.45,69.39,73.77,317.07,254.43,421.86,365.94,407.17,280.96,333.51,277.02,368.39,303.39,367.72,365.94,
3.714,0,0.20,0.02,0.00,0.08,99.98,0.04,0.19,0.00,0.00,0.00,99.98,93.20,98.75,28.72,0.19,0.00,0.11,100.00,98.14,1.68,0.00,0.00,0.00,0.00,0.00,96.60,0.00,28.94,0.08,0.00,0.00,100.00,49.38,0.00,,5.10,0.14,-0.45,70.01,72.81,316.69,254.64,420.79,365.67,405.94,281.16,333.24,277.27,368.36,302.69,367.04,365.67,
3.790,0,0.24,0.02,0.00,0.05,99.98,0.02,0.11,0.00,0.00,0.00,99.98,94.79,98.40,16.96,0.15,0.00,0.12,100.00,99.19,3.81,0.00,0.00,0.00,0.00,0.00,97.58,0.00,28.41,0.05,0.00,0.01,100.00,49.41,0.00,,6.29,1.40,-0.89,70.20,73.07,316.52,254.50,420.10,365.21,405.88,281.01,332.91,277.10,368.69,301.85,366.13,365.21,
3.855,0,0.24,0.02,0.00,0.04,99.98,0.02,0.09,0.01,0.00,0.00,99.98,95.63,98.43,11.32,0.12,0.00,0.12,100.00,99.58,4.64,0.00,0.00,0.00,0.01,0.00,98.72,0.00,24.25,0.05,0.00,0.00,100.00,49.50,0.00,,5.38,1.29,-0.71,69.93,71.99,317.02,254.31,420.32,364.64,405.59,280.57,333.70,276.73,368.97,301.89,366.72,364.64,
3.933,0,0.23,0.02,0.00,0.04,99.98,0.02,0.09,0.01,0.00,0.00,99.98,94.27,98.62,11.56,0.16,0.00,0.07,100.00,99.77,7.74,0.00,0.00,0.00,0.01,0.00,98.21,0.00,25.71,0.06,0.00,0.01,100.00,49.39,0.00,,4.47,0.66,-1.31,70.06,72.59,317.20,254.76,419.69,363.93,405.98,281.27,333.55,276.52,368.41,302.32,365.80,363.93,
4.008,0,0.25,0.02,0.00,0.05,99.98,0.02,0.11,0.00,0.00,0.00,99.98,94.62,98.42,15.01,0.32,0.00,0.07,99.99,99.61,5.17,0.00,0.00,0.00,0.00,0.00,95.62,0.00,30.32,0.05,0.00,2.66,100.00,49.23,0.00,,6.98,1.35,-2.04,71.01,71.69,317.64,255.56,418.49,363.57,405.56,281.52,333.98,277.47,368.46,301.38,364.66,363.57,
4.087,0,0.25,0.02,0.00,0.06,99.98,0.03,0.13,0.00,0.00,0.00,99.98,95.54,98.51,19.57,0.56,0.00,0.13,99.93,98.15,0.74,0.00,0.00,0.00,0.00,0.00,93.16,0.00,32.23,0.06,0.00,40.71,100.00,48.97,0.00,,8.75,1.03,-2.61,71.50,71.46,318.54,256.30,418.13,362.86,406.01,282.51,334.68,278.12,368.58,300.89,364.30,362.86,
4.167,0,0.17,0.02,0.00,0.06,99.98,0.03,0.13,0.00,0.01,0.00,99.98,95.56,98.60,20.19,0.92,0.00,0.13,99.81,86.15,0.38,0.00,0.00,0.00,0.00,0.01,87.92,0.00,35.01,0.09,0.00,36.75,100.00,48.52,0.00,,7.91,0.71,-1.21,71.23,73.52,319.23,256.29,418.30,361.99,406.76,282.17,333.35,278.13,368.76,300.98,366.20,361.99,
4.243,0,0.07,0.02,0.00,0.05,99.98,0.03,0.11,0.00,0.01,0.00,99.98,96.29,98.14,16.28,0.66,0.00,0.17,99.88,63.03,0.62,0.02,0.00,0.00,0.00,0.01,86.73,0.00,31.38,0.13,0.00,38.27,100.00,48.01,0.00,,8.18,2.16,-1.32,71.61,73.44,319.20,257.01,417.67,361.95,406.41,283.07,333.11,278.60,369.28,301.37,365.77,361.95,
4.322,0,0.04,0.02,0.00,0.05,99.98,0.02,0.11,0.00,0.02,0.00,99.98,96.36,97.95,15.23,0.29,0.00,0.11,99.93,46.54,0.98,0.04,0.00,0.00,0.00,0.02,88.66,0.00,32.31,0.22,0.00,11.39,100.00,46.83,0.00,,5.79,2.68,-1.57,71.51,72.55,319.30,257.87,417.15,362.05,405.91,282.89,333.44,279.42,369.37,302.83,365.33,362.05,
4.401,0,0.06,0.01,0.00,0.04,99.98,0.02,0.10,0.00,0.03,0.00,99.98,96.78,98.48,12.84,0.20,0.00,0.05,99.93,54.69,1.17,0.03,0.00,0.00,0.00,0.03,88.86,0.00,31.21,0.34,0.00,9.98,100.00,46.24,0.00,,5.22,1.16,-1.73,71.38,72.91,319.85,257.74,417.02,360.96,406.40,282.77,333.59,278.99,368.72,302.59,365.31,360.96,
4.479,0,0.09,0.01,0.00,0.04,99.98,0.02,0.09,0.00,0.03,0.00,99.98,97.11,98.51,11.92,0.19,0.00,0.04,99.95,70.08,0.86,0.02,0.00,0.00,0.00,0.03,91.03,0.00,29.08,0.56,0.00,6.05,100.00,45.84,0.00,,5.19,1.03,-1.46,71.37,72.62,320.36,257.78,416.88,360.39,406.28,282.75,333.77,278.69,368.81,302.33,365.81,360.39,
4.560,0,0.08,0.01,0.00,0.03,99.98,0.02,0.09,0.01,0.02,0.00,99.98,97.61,98.61,10.38,0.26,0.00,0.03,99.96,70.23,0.43,0.02,0.00,0.00,0.01,0.02,92.61,0.00,21.74,0.81,0.00,2.86,100.00,44.96,0.00,,4.71,0.69,-1.30,71.34,71.92,320.28,257.81,416.08,359.68,405.41,282.24,333.57,278.71,368.16,302.18,365.56,359.68,
