time stamp,face id,anger,contempt,disgust,fear,joy,sadness,surprise,sentimentality,confusion,neutral,engagement,valence,attention,inner brow raise,brow raise,brow furrow,eye widen,cheek raise,lid tighten,nose wrinkle,upper lip raise,dimpler,lip corner depressor,chin raise,lip pucker,lip stretch,lip press,mouth open,jaw drop,lip suck,eye closure,smile,smirk,blink,blink rate,pitch,yaw,roll,brightness,interocular distance,topleft_x,topleft_y,bottomright_x,bottomright_y,outer_right_eye_X,outer_right_eye_Y,outer_left_eye_X,outer_left_eye_Y,nose_top_X,nose_top_Y,chin_top_X,chin_top_Y
0.082,0,0.38,0.33,1.71,0.69,1.76,0.09,1.30,1.85,1.86,94.98,49.25,-0.08,92.22,2.9262083340901883,3.4924735941924157,4.1179233383527025,2.718730786405504,5.390485718771815,34.170384952332824,6.572802247572691,0.22841281590983264,7.021542269736528,2.46522957008332,0.4796178387477994,0,2.7313936692662537,4.2339010978396985,9.901664804052562,1.5494456336647273,0,3.4308709874749184,8.295623955819757,5.135006422875449,2.3038343160878867,,5.33,8.69,3.25,86.41,122.57,899.99,139.26,1014.99,269.26,959.99,167.26,1036.99,167.26,994.99,195.26,999.99,264.26
0.188,0,1.50,0.50,2.10,1.78,0.71,0.74,0.15,1.29,1.75,95.32,48.05,-7.72,87.76,2.6676308644050732,1.9529619320994245,1.1544909616699446,1.158652709303424,4.848520728410222,46.4407779504545,6.195770264137536,1.953752689342946,5.731320969993249,0.9728409579209982,3.211477192584425,0,5.968992202542722,1.4737853339966387,12.210413727294654,2.5769620039546863,2.145835774950683,4.573728572111577,5.022601756150834,3.1088373449165374,0.7568693656940013,,1.52,10.17,0.70,83.29,117.38,900.66,141.27,1015.66,271.27,960.66,169.27,1037.66,169.27,995.66,197.27,1000.66,266.27
0.283,0,0.99,0.95,1.98,0.52,1.27,1.65,1.14,1.91,1.63,95.00,42.84,-0.53,91.48,0.5486568349367009,5.130596021586098,5.334401204045862,3.6745625150296837,3.4241068405611443,44.62312216730788,2.5260481037665157,2.1114967045001687,4.2540680090896785,1.7251111456565562,3.6331712077371776,5.391149192117155,4.623197189066559,1.0292734025418757,8.247239015195518,0.44468328995164486,2.944545563776046,2.1004272690042853,6.074884687815793,1.3805900739971548,69.89665617793798,,2.18,6.21,1.39,84.12,120.22,900.55,140.44,1015.55,270.44,960.55,168.44,1037.55,168.44,995.55,196.44,1000.55,265.44
0.498,0,1.44,1.58,0.80,1.09,1.60,1.27,1.49,0.72,0.06,94.76,52.03,-1.07,87.88,3.5630720675643532,0,0.4949123137490825,3.5878003350272776,7.290622361153364,45.99689001683146,5.662852567736991,2.8135368809103967,3.3444338084664196,2.727607568912208,0,0.4326619440689683,1.9981088815256953,3.111366791287437,11.441123393382878,0.7526405231468378,4.995519262272865,5.64762508822605,5.004853857140988,5.329241884406656,1.984044030541554,,0.46,10.33,0.95,84.87,122.17,901.52,139.72,1016.52,269.72,961.52,167.72,1038.52,167.72,996.52,195.72,1001.52,264.72
0.609,0,0.06,0.82,1.10,0.91,1.78,0.78,1.27,1.06,2.01,93.34,42.81,-3.68,92.90,2.2028571538627153,1.4244950772728773,1.209332982907072,2.3258472023904324,7.248811540920287,19.760723910760134,1.8503329529426993,0,4.3399976142682135,1.3248256495781243,3.4466417259536684,5.264560058014467,1.5716962558217347,1.1873847365938128,5.690469538830221,2.4207842699531468,3.299197029788047,6.571107562165707,7.162667828015984,3.324549946235493,70.47940321592614,,0.51,10.14,3.08,84.04,120.61,901.84,139.36,1016.84,269.36,961.84,167.36,1038.84,167.36,996.84,195.36,1001.84,264.36
0.886,0,1.86,1.57,1.76,0.11,1.32,1.44,0.41,1.64,1.24,94.91,49.23,-5.80,92.10,2.63579891549889,2.9934317831648514,1.0755447126692164,2.41886737392284,8.238489331421443,37.50722939055413,5.256191878556274,5.703766305353493,3.6912012337706983,0,3.5016963751986623,4.514195076422766,4.745099899359047,0.2287037713546307,11.699717275891453,4.759750186302699,4.100416472647339,3.682430334854871,4.090850398945622,1.0172400195151567,3.8668949296697974,,3.29,8.35,0.65,84.47,122.42,901.64,140.06,1016.64,270.06,961.64,168.06,1038.64,168.06,996.64,196.06,1001.64,265.06
1.101,0,1.73,0.23,0.07,0.71,1.91,0.50,2.10,1.46,2.04,95.41,47.57,-7.97,96.26,1.9098390599805866,5.432496082223952,1.531765875690617,3.131206894721836,8.085499938414433,17.426852428819984,1.774547812482342,3.983964663334191,6.318465034477413,0,2.7208630749955773,4.324259399669245,0,3.518247264204547,11.63397556213662,1.8665936856716874,2.736955018248409,0,9.15531953123864,0.4594533173367381,4.597520518815145,,-0.97,9.57,0.97,85.04,117.00,899.67,140.21,1014.67,270.21,959.67,168.21,1036.67,168.21,994.67,196.21,999.67,265.21
1.276,0,1.05,1.48,0.27,2.13,1.09,0.14,0.91,1.68,2.09,95.28,46.37,-0.56,96.65,1.4973101198021324,3.842318639624864,4.486539401635527,1.3304262074641886,7.682373425732367,33.772416684776545,5.557393687637523,5.093077493160964,2.058941195020452,0,5.369832595344633,4.690823989221826,2.0727152097970247,4.317423309553415,11.504736912529916,2.459007467795163,0.9811160210520029,6.318993111141026,6.965213682190515,0,95.29562316369265,,-0.62,9.63,1.79,84.63,121.79,900.21,141.78,1015.21,271.78,960.21,169.78,1037.21,169.78,995.21,197.78,1000.21,266.78
1.495,0,1.25,1.07,0.67,0.83,0.54,1.57,0.00,0.96,1.73,95.78,43.78,-5.13,88.96,2.355531555553898,1.3875584359280766,1.7433391906740145,0.6837791294604543,5.879359296755865,26.549864786677063,4.215454274928197,2.7312993245385586,1.0995216539595276,3.968112272787839,3.6159269982017577,2.994972007814795,0,1.4831208920199423,5.92663662770763,0,3.851781499106437,0,5.179888879181817,0,3.69602221227251,,-0.72,4.77,1.91,84.61,122.63,900.21,140.91,1015.21,270.91,960.21,168.91,1037.21,168.91,995.21,196.91,1000.21,265.91
1.633,0,1.28,1.68,2.15,2.09,0.93,1.35,1.82,0.59,1.01,93.63,44.92,-0.06,93.87,0.9061110197426752,1.508382465294562,3.7745109839644284,3.124818804552779,6.132926275669597,47.879740798380226,6.2831611152971165,5.7388483632728455,4.919008657801896,2.629780790153891,6.427744572982192,2.469631883315742,5.693143422715366,0.2323135837540029,11.189147403892129,3.4468670406797903,1.1541843647137284,0.9081988953985274,6.7420865413406865,0,0.8893818848300725,,0.73,6.30,2.00,86.14,121.65,899.10,139.13,1014.10,269.13,959.10,167.13,1036.10,167.13,994.10,195.13,999.10,264.13
