time stamp,face id,anger,contempt,disgust,fear,joy,sadness,surprise,sentimentality,confusion,neutral,engagement,valence,attention,inner brow raise,brow raise,brow furrow,eye widen,cheek raise,lid tighten,nose wrinkle,upper lip raise,dimpler,lip corner depressor,chin raise,lip pucker,lip stretch,lip press,mouth open,jaw drop,lip suck,eye closure,smile,smirk,blink,blink rate,pitch,yaw,roll,brightness,interocular distance,topleft_x,topleft_y,bottomright_x,bottomright_y,outer_right_eye_X,outer_right_eye_Y,outer_left_eye_X,outer_left_eye_Y,nose_top_X,nose_top_Y,chin_top_X,chin_top_Y
0.077,0,1.15,0.93,1.06,2.16,0.29,1.10,2.16,2.03,1.03,92.01,29.38,-6.42,90.32,1.959979404741898,1.1706989250611515,5.392726848688908,1.6821935252472757,4.614402362778783,31.78298447979614,4.596133502828889,2.4935301781073216,2.8517031650990248,4.596089260950684,0,3.766278747236356,0.48445416474714875,2.9540086927916853,8.463290683478117,4.4722152491006995,5.660471514798701,0,6.2989495100080966,4.390499820699915,1.4680030143354088,,3.30,3.88,-2.80,86.20,121.04,900.63,139.53,1015.63,269.53,960.63,167.53,1037.63,167.53,995.63,195.53,1000.63,264.53
0.406,0,2.12,0.10,1.82,1.53,0.47,0.48,2.11,1.91,0.31,92.83,32.27,-3.12,92.80,3.397566401483491,5.731093935063109,2.207092493106611,5.677830933146179,6.168272008895874,20.582047250121832,4.503887347667478,0.7366378963179887,1.9213692855555564,3.495122684724629,2.2874513966962695,2.4843528873752803,0.42124545481055975,1.4675947336759418,10.164473353400826,2.928323716958985,2.627024909481406,0.4642782621085644,5.399878656603396,3.148071161704138,3.462059357436374,,4.12,8.05,-2.88,83.04,117.78,899.20,138.88,1014.20,268.88,959.20,166.88,1036.20,166.88,994.20,194.88,999.20,263.88
0.691,0,2.09,1.88,0.84,1.24,1.44,0.10,2.08,0.84,2.06,92.57,34.80,-6.15,88.50,0.4412209934787823,2.471488263295032,4.543200129698962,0.9209326388221233,3.542655222029425,36.285024118609726,3.712782807648182,5.275941902212798,1.265458908630535,0.37883332725614327,0,4.530626582913101,5.485552731435746,1.1299105659686028,12.11579221315682,3.082908269013278,0.975521557033062,2.101345324423164,7.451205961625092,4.593625863548368,2.142057202057913,,0.97,3.86,-4.82,86.34,122.99,898.43,140.90,1013.43,270.90,958.43,168.90,1035.43,168.90,993.43,196.90,998.43,265.90
0.819,0,0.25,0.50,0.91,1.73,0.09,2.16,0.38,1.37,1.43,93.08,24.50,-5.38,94.56,0.8649445054540408,0,2.4397009740676734,0.012943449253216777,3.083177262307145,38.75435699848458,0.9926746318116786,0,3.746023004874587,0,2.1385864494368434,3.7171869401354343,5.550275609828532,0,13.67005740294233,2.91071815487463,4.121878128964454,5.854262272361666,6.261640775497072,2.1219185618683696,0.09811183344572783,,1.91,4.91,-2.22,83.86,121.62,899.56,140.85,1014.56,270.85,959.56,168.85,1036.56,168.85,994.56,196.85,999.56,265.85
1.158,0,1.48,0.19,1.60,0.43,1.81,1.00,0.77,1.80,1.11,92.08,23.73,-3.69,89.81,4.7884849282354125,2.170952803408727,0.5256277270289136,1.2510124739632014,6.427771600084379,8.29243513988331,3.6293050579493866,1.066709947139025,0,0.48579582404345256,3.7666236693039536,0,0,1.2010824455786495,12.059604715984314,0.07313123528845633,0.9614481343887746,2.244657012168318,6.4407342484314,2.2938868408091366,0,,4.99,1.52,-1.08,83.47,119.98,898.28,138.16,1013.28,268.16,958.28,166.16,1035.28,166.16,993.28,194.16,998.28,263.16
1.396,0,0.53,0.57,0.32,1.29,1.41,1.48,0.96,0.82,1.91,93.22,24.80,-7.55,90.04,2.4865962325874715,1.8011200626846402,1.638275080677122,1.4854887047596277,8.318331962535158,16.9934429586865,1.5714112316723914,2.358210473526269,2.581097154179588,3.189704664070159,3.6070817881263793,6.378874890040606,5.268668139819056,1.2301286763139068,10.708040890730917,2.4205598818231375,5.495384776499122,5.889615827705711,8.58548884077929,0,0,,1.74,3.42,-0.84,85.35,121.84,899.16,140.18,1014.16,270.18,959.16,168.18,1036.16,168.18,994.16,196.18,999.16,265.18
1.704,0,1.03,0.98,1.67,1.70,1.54,1.93,0.63,2.08,1.51,94.22,23.50,-3.78,96.78,4.213679701774382,0.023800465860404074,3.060658047879115,2.4463076505530625,6.0227886457135895,14.22878508316353,1.1064158962341026,0.5086878734827041,2.7956835101358593,4.5767019986733795,3.006811525672674,0.2494706881698221,3.0948003069497645,3.0429964512959122,10.97077928893268,3.8324832158861684,0,5.658223270904273,7.181154401325621,5.794446603860706,0.39064554311335087,,-1.14,5.47,-1.80,85.06,117.43,899.62,140.58,1014.62,270.58,959.62,168.58,1036.62,168.58,994.62,196.58,999.62,265.58
2.018,0,1.25,1.14,2.02,0.59,1.66,1.34,0.64,1.86,2.01,94.14,28.11,-4.41,92.70,2.315897678649053,2.501246141875163,6.261196765475907,2.6897512196935716,3.8762434808257966,45.40902517642826,3.421070598019287,4.732763521894812,0,4.328358836267144,1.835747308563441,0,0,5.074396825889126,13.488996624965221,2.655162026537582,1.9731313223019242,2.2738204463385046,7.954179973518476,2.536684026475996,0,,2.90,4.50,-1.09,85.49,122.98,899.47,141.06,1014.47,271.06,959.47,169.06,1036.47,169.06,994.47,197.06,999.47,266.06
2.208,0,1.85,1.47,1.34,0.85,0.27,1.39,2.07,2.10,0.24,91.80,26.32,-1.56,93.88,4.844450302897021,3.533774508163333,0.49634945257101215,6.028903817813843,5.5672551183914765,23.59426665958017,6.328164745052345,0.4650755295902491,1.986279573990032,4.9639750561304385,0,0,1.7380882194265723,0.7123396381828933,3.987089787609875,0.3125776806846261,0,0,4.725466707781888,2.2245562355965376,3.170023949816823,,2.78,2.13,-3.66,84.15,121.77,898.66,139.84,1013.66,269.84,958.66,167.84,1035.66,167.84,993.66,195.84,998.66,264.84
2.430,0,1.50,1.60,1.27,0.06,1.75,1.32,0.12,0.68,1.68,93.15,28.99,-7.83,88.90,4.953454143260606,3.6566837590420618,6.2188922262983395,3.781484389891848,7.4606321377912534,31.421182341407984,1.6053717422066258,0.6450753677077592,3.2560316463932395,4.292609440460801,1.3522401913069189,2.471714088926092,2.823119319509715,5.271775156939402,8.30221557866782,0.20630723669659368,0,0,4.472697449638509,3.7930691461078823,4.0468607735820115,,2.18,0.68,-5.37,85.79,122.69,901.29,140.61,1016.29,270.61,961.29,168.61,1038.29,168.61,996.29,196.61,1001.29,265.61
2.743,0,1.33,1.64,1.78,0.58,1.26,0.92,2.05,0.44,1.57,94.26,30.92,-4.36,94.57,2.3062132667563855,1.349967077467591,3.3729466297104955,5.817284325361252,5.6721378808189185,28.568840350490063,4.0589485096046705,0.25828719640150677,3.2859023921191692,0.7014982948079704,0.9254370806738734,5.204333901870996,0.5661948281340301,4.168766325116158,5.72907677533105,4.628344966154545,0.7916952832601964,6.307952052447945,3.5939856398012493,6.105760461650789,1.93188410368748,,0.28,3.56,-4.80,83.45,122.25,901.57,138.33,1016.57,268.33,961.57,166.33,1038.57,166.33,996.57,194.33,1001.57,263.33
3.026,0,0.37,1.78,0.75,1.49,1.64,1.65,1.79,0.90,0.36,93.07,26.52,-4.72,89.68,1.475633012810722,4.821158417267725,5.118416211460717,1.423094537816942,8.556043789307587,31.623440214898437,1.3812279293779284,2.4839574636891486,6.413541428046301,3.6137590267695487,4.06377211259678,4.189758112421259,4.499241098295897,4.182953742528334,14.571584658138454,0.5833661933895202,4.04988739034161,6.621464141178876,5.873944079768844,0,3.6734576888848096,,-2.25,1.10,-1.91,83.14,121.82,898.03,141.39,1013.03,271.39,958.03,169.39,1035.03,169.39,993.03,197.39,998.03,266.39
3.275,0,0.27,1.13,1.87,0.70,1.71,0.46,0.98,2.16,0.12,93.26,29.22,-0.94,88.24,3.584594215815887,1.7335683864541354,4.947104861885309,0.5568684505298731,6.37419056232553,32.72731919027865,5.738930697320029,2.5876495527103547,2.461543435929343,0,4.22376857791096,6.836101762019098,2.7992194374091923,0,15.015007823184133,1.579375326707959,0.9442777186632156,4.864125390537083,3.8768001367384564,4.238220490748063,0,,-0.19,-0.47,-1.90,84.27,118.61,900.07,140.75,1015.07,270.75,960.07,168.75,1037.07,168.75,995.07,196.75,1000.07,265.75
