time stamp,anger,contempt,disgust,fear,joy,sadness,surprise,sentimentality,confusion,neutral,engagement,valence,attention,inner brow raise,brow raise,brow furrow,eye widen,cheek raise,lid tighten,nose wrinkle,upper lip raise,dimpler,lip corner depressor,chin raise,lip pucker,lip stretch,lip press,mouth open,jaw drop,lip suck,eye closure,smile,smirk,blink,blink rate,pitch,yaw,roll
1705282200.0000,0.0398,0.0255,0.0264,0.0370,0.4454,0.0422,0.0870,0.1141,0.0807,0.4612,0.6622,0.5231,0.6975,0.0000,0.1067,0.0972,0.0625,0.2480,0.0096,0.0216,0.0597,0.1240,0.0231,0.1627,0.0731,0.1523,0.1080,0.0667,0.1069,0.0839,0.1565,0.3638,0.1430,0.0000,15.72,7.7499,2.9312,8.0097
1705282200.0667,0.0449,0.0369,0.0206,0.0332,0.4176,0.0317,0.0832,0.1099,0.0814,0.4844,0.6327,0.6296,0.7224,0.0379,0.0841,0.0518,0.0052,0.2103,0.0000,0.0000,0.1195,0.0201,0.0000,0.1561,0.0973,0.0885,0.0789,0.0177,0.0348,0.1064,0.1115,0.3504,0.0828,0.0000,11.26,14.7192,14.9468,-1.4440
1705282200.1333,0.0580,0.0351,0.0221,0.0103,0.4097,0.0325,0.0915,0.1035,0.0661,0.5028,0.6354,0.6479,0.7058,0.0800,0.0187,0.1036,0.0524,0.2015,0.0675,0.0101,0.0317,0.0781,0.0139,0.0920,0.0617,0.0912,0.1013,0.0870,0.0936,0.1321,0.1248,0.2635,0.0189,0.0000,13.18,-0.1503,9.6421,6.7963
1705282200.2000,0.0401,0.0233,0.0236,0.0188,0.4046,0.0000,0.0883,0.1137,0.0823,0.5231,0.6387,0.6425,0.7239,0.0419,0.0509,0.0238,0.0539,0.2507,0.0000,0.0273,0.1574,0.0220,0.0000,0.0663,0.0886,0.1829,0.1350,0.0603,0.1110,0.0636,0.1068,0.3399,0.1591,0.0000,15.64,11.9770,-1.6115,4.6126
1705282200.2667,0.0372,0.0252,0.0220,0.0062,0.3953,0.0115,0.1012,0.1230,0.0898,0.5130,0.6408,0.5576,0.7312,0.0000,0.0200,0.0999,0.1044,0.2322,0.0466,0.0355,0.0918,0.1842,0.0000,0.1106,0.0292,0.1308,0.0342,0.1088,0.0982,0.1276,0.1161,0.1985,0.0938,0.0000,14.03,-0.5060,5.2021,-7.0318
1705282200.3333,0.0232,0.0381,0.0295,0.0105,0.3973,0.0245,0.0926,0.1052,0.0927,0.5119,0.6369,0.5693,0.7052,0.0631,0.0169,0.0485,0.0505,0.2548,0.0000,0.0392,0.1558,0.0899,0.0000,0.0686,0.2112,0.0750,0.1515,0.0610,0.1434,0.0111,0.1218,0.3723,0.0928,0.0000,19.15,8.1984,15.7541,-3.2295
1705282200.4000,0.0403,0.0251,0.0232,0.0273,0.3999,0.0365,0.0842,0.1081,0.0978,0.4945,0.5998,0.6267,0.7240,0.0000,0.0000,0.0721,0.0396,0.2514,0.0000,0.0372,0.0801,0.0589,0.0639,0.1586,0.0673,0.0603,0.1530,0.0651,0.0292,0.0447,0.0317,0.3176,0.1162,0.0000,12.61,6.8796,1.1445,-2.0696
1705282200.4667,0.0277,0.0323,0.0084,0.0237,0.4202,0.0286,0.0838,0.1105,0.0867,0.5069,0.5791,0.6081,0.7225,0.1032,0.0112,0.0443,0.0208,0.2719,0.0128,0.0000,0.1242,0.1236,0.0469,0.0384,0.1080,0.1099,0.1497,0.0354,0.0971,0.0414,0.1147,0.3393,0.1399,0.0000,8.99,11.8410,4.2408,3.1910
1705282200.5333,0.0325,0.0297,0.0013,0.0143,0.4216,0.0161,0.0952,0.1001,0.0663,0.5337,0.5736,0.5548,0.6708,0.0090,0.1110,0.0386,0.0458,0.2309,0.0000,0.0301,0.0764,0.0567,0.0035,0.1296,0.0978,0.0273,0.0996,0.0350,0.0642,0.1162,0.1456,0.3879,0.1393,0.0000,16.12,10.5474,8.2741,-2.2602
1705282200.6000,0.0302,0.0403,0.0000,0.0131,0.4185,0.0262,0.1067,0.1097,0.0679,0.5124,0.6342,0.6273,0.7303,0.0123,0.1011,0.0714,0.1072,0.2415,0.0000,0.0000,0.0642,0.0682,0.0245,0.1296,0.1016,0.1393,0.1851,0.0950,0.1096,0.1199,0.1042,0.3906,0.0992,0.0000,17.36,3.9890,9.7201,4.0205
