time stamp,anger,contempt,disgust,fear,joy,sadness,surprise,sentimentality,confusion,neutral,engagement,valence,attention,inner brow raise,brow raise,brow furrow,eye widen,cheek raise,lid tighten,nose wrinkle,upper lip raise,dimpler,lip corner depressor,chin raise,lip pucker,lip stretch,lip press,mouth open,jaw drop,lip suck,eye closure,smile,smirk,blink,blink rate,pitch,yaw,roll
1705297500.0000,0.0882,0.0676,0.0319,0.0339,0.1421,0.1192,0.0269,0.0471,0.2321,0.5266,0.4220,-0.2028,0.7625,0.0731,0.0039,0.1339,0.0000,0.1228,0.0460,0.0024,0.0655,0.0896,0.1053,0.1245,0.1084,0.1584,0.1363,0.0587,0.1343,0.1319,0.1274,0.1429,0.0458,0.0000,7.50,19.4619,-26.6802,0.5625
1705297500.0667,0.0841,0.0613,0.0311,0.0485,0.1492,0.1139,0.0183,0.0378,0.2490,0.5241,0.4049,-0.2010,0.7441,0.0000,0.0372,0.1906,0.0178,0.0665,0.0476,0.0466,0.1920,0.0590,0.1064,0.1347,0.0764,0.1568,0.0452,0.0418,0.1125,0.1757,0.1278,0.0814,0.1411,0.0000,19.09,0.2321,-13.4084,-6.9111
1705297500.1333,0.0900,0.0609,0.0342,0.0376,0.1364,0.1181,0.0321,0.0421,0.2146,0.5404,0.3206,-0.2006,0.7774,0.0954,0.0021,0.2235,0.0000,0.0885,0.0808,0.1063,0.0876,0.0494,0.1253,0.1571,0.1641,0.1289,0.0697,0.0106,0.2026,0.1106,0.0942,0.0713,0.0590,0.0000,13.04,11.9693,-10.3797,-2.7312
1705297500.2000,0.0883,0.0780,0.0456,0.0319,0.1366,0.1179,0.0426,0.0393,0.2048,0.5291,0.3163,-0.1909,0.7400,0.0732,0.0798,0.1582,0.0117,0.0694,0.0356,0.0453,0.1497,0.0432,0.1078,0.0740,0.0972,0.0760,0.0508,0.0056,0.1735,0.1188,0.1451,0.0373,0.1368,0.0000,15.88,3.7207,9.1017,-4.0448
1705297500.2667,0.0896,0.0834,0.0362,0.0256,0.1239,0.1332,0.0541,0.0579,0.2174,0.5072,0.3560,-0.1838,0.7374,0.0871,0.0022,0.1707,0.0253,0.0517,0.0206,0.0638,0.0629,0.0681,0.0632,0.0850,0.1197,0.1530,0.0517,0.0326,0.1283,0.1221,0.0686,0.0235,0.0719,0.0000,17.04,-4.3989,1.6332,5.3130
1705297500.3333,0.1069,0.0756,0.0399,0.0198,0.1018,0.1438,0.0536,0.0479,0.2246,0.5116,0.3789,-0.2234,0.7355,0.0230,0.0426,0.1392,0.0304,0.0931,0.0461,0.0574,0.1185,0.1388,0.0894,0.0541,0.0698,0.0803,0.0217,0.0650,0.1328,0.1489,0.0684,0.1259,0.0837,0.0000,20.31,14.6206,-7.2470,-7.3582
1705297500.4000,0.1067,0.0746,0.0446,0.0166,0.1304,0.1404,0.0738,0.0459,0.2527,0.4687,0.4330,-0.3004,0.6511,0.0903,0.0000,0.1411,0.0458,0.0409,0.0404,0.0941,0.0971,0.0114,0.1364,0.0843,0.0398,0.1419,0.2000,0.0004,0.0741,0.0545,0.1450,0.1120,0.1709,0.0000,14.78,1.9310,-9.5229,1.5260
1705297500.4667,0.1189,0.0718,0.0518,0.0259,0.1531,0.1380,0.0347,0.0579,0.2380,0.4661,0.4503,-0.3310,0.6488,0.0734,0.0514,0.1786,0.0572,0.1037,0.0987,0.0734,0.0672,0.1401,0.1045,0.0816,0.0649,0.0627,0.1597,0.0000,0.0720,0.0139,0.0977,0.0822,0.1278,0.0000,18.92,13.5923,-3.5459,1.0382
1705297500.5333,0.1199,0.0852,0.0416,0.0283,0.1588,0.1381,0.0339,0.0659,0.2484,0.4479,0.3844,-0.2755,0.6315,0.1246,0.0031,0.1287,0.0190,0.0845,0.1037,0.0874,0.0996,0.1211,0.1310,0.0619,0.1036,0.0533,0.1184,0.0710,0.0000,0.0941,0.0954,0.1171,0.1144,0.0000,9.06,-8.5698,-11.8669,-1.7311
1705297500.6000,0.1026,0.0715,0.0447,0.0254,0.1444,0.1369,0.0521,0.0667,0.2202,0.4813,0.3901,-0.2999,0.6941,0.0677,0.0000,0.0840,0.0841,0.0949,0.0296,0.0788,0.2082,0.1674,0.0848,0.0527,0.0451,0.1088,0.0261,0.0440,0.0884,0.1435,0.2071,0.1103,0.0070,0.0000,13.87,5.8814,-3.9537,-1.7775
1705297500.6667,0.0972,0.0623,0.0273,0.0353,0.0753,0.1255,0.0479,0.0560,0.2318,0.5448,0.3432,-0.2127,0.6185,0.1467,0.0352,0.2074,0.0672,0.0277,0.0230,0.0457,0.1460,0.0468,0.0881,0.0352,0.0637,0.1285,0.0791,0.0153,0.1140,0.0976,0.1820,0.0320,0.0000,0.0000,11.95,-6.8093,5.4764,-2.3686
1705297500.7333,0.0955,0.0747,0.0222,0.0151,0.1082,0.1310,0.0613,0.0781,0.2428,0.5027,0.3521,-0.2741,0.6948,0.0413,0.0052,0.1744,0.0737,0.0624,0.1012,0.0000,0.0735,0.0000,0.1231,0.1099,0.0442,0.1115,0.1261,0.0160,0.0933,0.1200,0.1075,0.0317,0.1150,0.0000,15.59,7.6846,-6.2168,-1.5702
1705297500.8000,0.1011,0.0724,0.0138,0.0182,0.1052,0.1451,0.0750,0.0804,0.2528,0.4816,0.3753,-0.3011,0.6654,0.0000,0.0916,0.1776,0.0095,0.0646,0.0504,0.0450,0.0450,0.0599,0.0765,0.0916,0.0404,0.0946,0.1288,0.0678,0.1159,0.1421,0.0407,0.1028,0.0269,0.0000,15.40,2.3486,11.9921,-0.4714
1705297500.8667,0.0929,0.0608,0.0081,0.0079,0.1167,0.1303,0.0799,0.0678,0.2607,0.5049,0.3803,-0.3447,0.6670,0.0138,0.0647,0.1380,0.0510,0.0849,0.0388,0.0463,0.0869,0.1202,0.0958,0.0000,0.1579,0.0466,0.0566,0.0668,0.0589,0.0647,0.0762,0.0982,0.1723,0.0000,20.71,13.5711,0.3497,0.8263
1705297500.9333,0.0817,0.0627,0.0130,0.0177,0.0964,0.1378,0.0668,0.0745,0.2483,0.5206,0.4171,-0.3140,0.6837,0.0305,0.0528,0.1937,0.0356,0.0393,0.1214,0.0602,0.1140,0.0566,0.1037,0.0000,0.1517,0.0124,0.0945,0.0517,0.0387,0.1015,0.1206,0.0432,0.1461,0.0000,5.19,-2.5125,0.8657,-6.4606
